Board,Draft Year,Board Size,Consensus Lottery,Consensus-L %ile,Consensus-L z-score,Consensus Top 30,Consensus-T30 %ile,Consensus-T30 z-score,Consensus Top 60,Consensus-T60 %ile,Consensus-T60 z-score,NBA Draft Lottery,NBA-L %ile,NBA-L z-score,NBA Draft Top 30,NBA-T30 %ile,NBA-T30 z-score,NBA Draft Top 60,NBA-T60 %ile,NBA-T60 z-score,Redraft Lottery,Redraft Top 30,Redraft Top 60,EPM Lottery,EPM Top 30,EPM Top 60,EW Lottery,EW Top 30,EW Top 60,R-L %ile,R-L z-score,R-T30 %ile,R-T30 z-score,R-T60 %ile,R-T60 z-score,EPM-L %ile,EPM-L z-score,EPM-T30 %ile,EPM-T30 z-score,EPM-T60 %ile,EPM-T60 z-score,EW-L %ile,EW-L z-score,EW-T30 %ile,EW-T30 z-score,EW-T60 %ile,EW-T60 z-score,avg L z-score,Lottery Rank,Lottery %ile,avg T30 z-score,Top 30 Rank,Top 30 %ile,avg T60 z-score,Top 60 Rank,Top 60 %ile,DARKO Lottery,DARKO Top 30,DARKO Top 60,LEBRON Lottery,LEBRON Top 30,LEBRON Top 60,WAR Lottery,WAR Top 30,WAR Top 60,DARKO-L %ile,DARKO-L z-score,DARKO-T30 %ile,DARKO-T30 z-score,DARKO-T60 %ile,DARKO-T60 z-score,LEBRON-L %ile,LEBRON-L z-score,LEBRON-T30 %ile,LEBRON-T30 z-score,LEBRON-T60 %ile,LEBRON-T60 z-score,WAR-L %ile,WAR-L z-score,WAR-T30 %ile,WAR-T30 z-score,WAR-T60 %ile,WAR-T60 z-score
@thebigwafe,2025,59,2.421,0.622,0.40,6.48,0.299,-0.29,,,,0.552,0.171,-0.80,0.648,0.422,-0.02,0.729,0.118,-0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@dlee4three,2025,59,3.369,0.354,-0.11,5.521,0.476,0.13,,,,0.67,0.384,-0.13,0.654,0.435,0.02,0.737,0.129,-0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025,59,1.845,0.811,0.71,6.206,0.347,-0.17,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@HuntHoops,2025,58,1.958,0.774,0.65,4.655,0.68,0.51,,,,0.851,0.841,0.90,0.679,0.497,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@matwnba,2025,54,2.591,0.555,0.31,4.512,0.721,0.57,,,,0.692,0.421,0.00,0.668,0.449,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@_LarroHoops,2025,53,2.234,0.689,0.50,3.821,0.85,0.87,,,,0.771,0.579,0.44,0.752,0.707,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@theballhaus,2025,50,2.846,0.5,0.17,2.721,0.925,1.35,,,,0.679,0.396,-0.08,0.5,0.143,-1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salvador cali,2025,50,3.185,0.396,-0.01,4.318,0.762,0.65,,,,0.78,0.616,0.49,0.727,0.612,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@wilkomcv,2025,50,5.356,0.073,-1.19,5.397,0.497,0.18,,,,0.741,0.518,0.27,0.738,0.667,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@ProspectingNBA,2025,50,1.804,0.829,0.73,3.707,0.871,0.92,,,,0.697,0.433,0.03,0.71,0.585,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@hoop_tetris,2025,47,6.04,0.049,-1.56,13.559,0,-3.38,,,,0.165,0.006,-2.98,0.217,0.007,-2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ringer,2025,45,3.756,0.25,-0.32,6.11,0.361,-0.13,,,,0.785,0.646,0.52,0.763,0.769,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@ram_dub,2025,45,6.685,0.037,-1.91,6.859,0.231,-0.46,,,,0.336,0.061,-2.02,0.513,0.163,-0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@100guaranteed,2025,45,2.489,0.598,0.36,4.547,0.714,0.55,,,,0.697,0.433,0.03,0.539,0.218,-0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@FinnDraft,2025,45,2.86,0.494,0.16,7.452,0.15,-0.71,,,,0.565,0.201,-0.72,0.436,0.082,-1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@JoelHinkieMaxey,2025,44,5.263,0.079,-1.14,7.518,0.136,-0.74,,,,0.732,0.506,0.22,0.729,0.619,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Juul__Embiid,2025,44,2.036,0.738,0.61,6.363,0.306,-0.24,,,,0.842,0.823,0.85,0.731,0.633,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Heintzman,2025,42,3.393,0.335,-0.13,4.914,0.619,0.39,,,,0.78,0.616,0.49,0.58,0.333,-0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jishnu,2025,41,3.995,0.201,-0.45,4.853,0.653,0.42,,,,0.758,0.555,0.37,0.768,0.782,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@PenguinHoops,2025,41,3.419,0.329,-0.14,5.707,0.449,0.05,,,,0.56,0.195,-0.75,0.534,0.19,-0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DrewDataDesign,2025,41,3.504,0.305,-0.19,6.125,0.354,-0.14,,,,0.64,0.311,-0.30,0.683,0.51,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@jozhNBA,2025,41,1.933,0.793,0.66,3.531,0.891,1.00,,,,0.864,0.854,0.97,0.613,0.367,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@movedmypivot,2025,40,3.384,0.341,-0.12,3.823,0.844,0.87,,,,0.53,0.159,-0.92,0.411,0.075,-1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Trellinterlude,2025,40,1.574,0.89,0.86,4.179,0.782,0.71,,,,0.657,0.341,-0.20,0.606,0.354,-0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@IFIMINC,2025,40,2.25,0.677,0.49,4.933,0.612,0.38,,,,0.604,0.238,-0.50,0.706,0.571,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@TStapletonNBA,2025,40,3.468,0.317,-0.17,6.287,0.327,-0.21,,,,0.371,0.067,-1.82,0.498,0.136,-1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@_thedealzone,2025,40,2.599,0.549,0.30,6.093,0.374,-0.12,,,,0.481,0.116,-1.20,0.568,0.279,-0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Flawlesslikeeli,2025,40,3.248,0.372,-0.05,8.739,0.102,-1.28,,,,0.429,0.085,-1.49,0.464,0.102,-1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@mikegrib8,2025,40,1.374,0.921,0.97,6.223,0.34,-0.18,,,,0.626,0.28,-0.38,0.683,0.51,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@criggsNBA,2025,40,4.076,0.189,-0.50,8.165,0.116,-1.03,,,,0.284,0.018,-2.31,0.338,0.041,-2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@British_Buzz,2025,40,3.329,0.366,-0.09,6.489,0.293,-0.29,,,,0.969,0.994,1.56,0.87,0.973,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@hellyymarco,2025,40,3.137,0.402,0.01,5.987,0.401,-0.08,,,,0.741,0.518,0.27,0.771,0.789,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@akaCK_,2025,39,1.468,0.915,0.92,2.609,0.952,1.40,,,,0.899,0.909,1.17,0.837,0.932,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oneiric,2025,38,3.82,0.232,-0.36,7.084,0.211,-0.55,,,,0.648,0.329,-0.25,0.57,0.286,-0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@JoeHulbertNBA,2025,38,5.105,0.098,-1.05,5.552,0.463,0.11,,,,0.723,0.5,0.17,0.481,0.122,-1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PK,2025,36,3.992,0.207,-0.45,5.322,0.51,0.22,,,,0.569,0.207,-0.70,0.399,0.061,-1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@thezonemaster,2025,35,1.731,0.835,0.77,4.361,0.755,0.63,,,,0.662,0.36,-0.17,0.567,0.272,-0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@who_____knows,2025,35,3.372,0.348,-0.12,4.209,0.776,0.70,,,,0.459,0.104,-1.32,0.54,0.224,-0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@duydidt,2025,35,2.472,0.61,0.37,5.121,0.558,0.30,,,,0.49,0.122,-1.15,0.409,0.068,-1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@drew_cant_hoop,2025,34,1.074,0.976,1.13,2.662,0.939,1.38,,,,0.635,0.299,-0.33,0.646,0.408,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@nbadrafting,2025,34,4.742,0.134,-0.86,7.619,0.129,-0.79,,,,0.262,0.012,-2.44,0.262,0.02,-2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@TaouTi959,2025,33,1.937,0.787,0.66,4.246,0.769,0.68,,,,0.719,0.494,0.15,0.542,0.231,-0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@NileHoops,2025,32,4.639,0.14,-0.80,10.973,0.041,-2.25,,,,0.327,0.055,-2.07,0.172,0,-3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Pelton (ESPN),2025,31,2.566,0.561,0.32,10.529,0.054,-2.06,,,,0.864,0.854,0.97,0.79,0.83,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opta,2025,31,13.645,0,-5.68,12.578,0.014,-2.95,,,,0.604,0.238,-0.50,0.458,0.088,-1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@503sbest,2025,30,2.51,0.591,0.35,3.256,0.918,1.12,,,,0.701,0.451,0.05,0.537,0.211,-0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@esotericloserr,2025,30,5.153,0.091,-1.08,7.32,0.177,-0.66,,,,0.319,0.043,-2.11,0.302,0.027,-2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@freewave3,2025,30,3.093,0.421,0.04,5.112,0.565,0.31,,,,0.569,0.207,-0.70,0.476,0.109,-1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@perspectivehoop,2025,30,2.448,0.616,0.39,4.583,0.701,0.54,,,,0.802,0.707,0.62,0.68,0.503,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@bballstrategy,2025,30,5.976,0.055,-1.53,12.273,0.027,-2.82,,,,0.665,0.366,-0.16,0.571,0.293,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Hoops_Haven1,2025,30,2.539,0.573,0.34,5.317,0.517,0.22,,,,0.618,0.268,-0.42,0.554,0.245,-0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Silas,2025,30,2.283,0.659,0.47,5.133,0.551,0.30,,,,0.556,0.189,-0.77,0.675,0.463,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@zjy2000,2025,30,1.6,0.878,0.84,3.996,0.83,0.79,,,,0.837,0.805,0.82,0.759,0.748,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@QuinnFishburne,2025,30,3.713,0.268,-0.30,6.055,0.381,-0.10,,,,0.802,0.707,0.62,0.749,0.701,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@antoniodias_pt,2025,30,4.045,0.195,-0.48,5.452,0.49,0.16,,,,0.64,0.311,-0.30,0.729,0.619,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Cparkernba,2025,30,2.944,0.482,0.12,4.995,0.605,0.36,,,,0.626,0.28,-0.38,0.534,0.19,-0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@greg23m,2025,30,4.39,0.165,-0.67,7.403,0.163,-0.69,,,,0.83,0.774,0.78,0.665,0.442,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@wheatonbrando,2025,30,4.362,0.177,-0.65,7.425,0.156,-0.70,,,,0.749,0.543,0.32,0.579,0.327,-0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@mcfNBA,2025,30,3.029,0.451,0.07,6.282,0.333,-0.20,,,,0.621,0.274,-0.40,0.801,0.844,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@redcooteay,2025,30,2.006,0.756,0.62,2.667,0.932,1.37,,,,0.78,0.616,0.49,0.761,0.755,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@spursbeliever,2025,30,1.111,0.951,1.11,4.145,0.789,0.73,,,,0.925,0.963,1.31,0.574,0.313,-0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@halfawaketakes,2025,30,3.031,0.445,0.07,7.132,0.204,-0.57,,,,0.701,0.451,0.05,0.605,0.347,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@SaucyTakez,2025,30,2.283,0.659,0.47,4.613,0.687,0.52,,,,0.771,0.579,0.44,0.715,0.592,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@canpekerpekcan,2025,30,2.391,0.628,0.42,3.965,0.837,0.81,,,,0.899,0.909,1.17,0.839,0.946,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@ByAnthonyRizzo,2025,30,3.717,0.262,-0.30,4.458,0.735,0.59,,,,0.701,0.451,0.05,0.669,0.456,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@TobiBuehner,2025,29,1.634,0.872,0.83,,,,,,,0.749,0.543,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@andreacannici,2025,28,4.872,0.11,-0.93,,,,,,,0.626,0.28,-0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@WillC,2025,28,3.227,0.384,-0.04,,,,,,,0.516,0.14,-1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@TrashPanda,2025,27,1.95,0.78,0.65,,,,,,,0.477,0.11,-1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@AtTheLevel,2025,26,2.024,0.744,0.61,,,,,,,0.835,0.799,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@ShoryLogan,2025,26,3.727,0.256,-0.31,,,,,,,0.429,0.085,-1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@j0nzzzz,2025,26,1.58,0.884,0.86,,,,,,,0.864,0.854,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Jackmatthewss_,2025,25,2.746,0.524,0.22,,,,,,,0.604,0.238,-0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@LoganPAdams,2025,25,3.473,0.311,-0.17,,,,,,,0.688,0.415,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@evidenceforZ,2025,25,5.505,0.067,-1.27,,,,,,,0.297,0.03,-2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMILODON,2025,25,8.952,0.012,-3.14,,,,,,,0.522,0.146,-0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@henrynbadraft,2025,23,2.002,0.762,0.63,,,,,,,0.635,0.299,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@DraftCasual,2025,21,1.553,0.896,0.87,,,,,,,0.921,0.951,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@DrakeMayeFC,2025,20,3.008,0.47,0.08,,,,,,,0.615,0.262,-0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@ChuckingDarts,2025,20,3.944,0.213,-0.43,,,,,,,0.841,0.817,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@HoopsMetrOx,2025,20,2.256,0.671,0.49,,,,,,,0.555,0.183,-0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@JHM Basketball,2025,20,3.882,0.226,-0.39,,,,,,,0.527,0.152,-0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
